ac_id,requirement,ac_number,design_section,task_ids,test_ids,coverage_status,when_summary,then_summary,notes
Req1.AC1,1,1,"§5.1, §4.5.4",60;61,93,COVERED,the operation is dispatched,"the system MUST route the operation through the `PaymentProvider` interface; no business logic code SHALL reference `NetCred`, `GraphQL`, or any gateway-specific type directly.",Route all ops through PaymentProvider interface
Req1.AC2,1,2,"§5.1, §4.5.4",61;63,93,COVERED,it translates a `CreateChargeInput` to a NetCred `chargeCreate` mutation,"all NetCred-specific field mappings (GraphQL variables, `companyId`, `payoutRuleInput`, `orderInput`) MUST be encapsulated entirely within the adapter; the calling cron code MUST N…",NetCred field encapsulation in adapter
Req1.AC3,1,3,"§5.1, §4.5.4",61;62,93;129,COVERED,the error is classified as `ProviderAuthError`,"the adapter MUST attempt exactly one token refresh via `refreshAuthToken()` and retry the original operation once; if the retry also fails, the error MUST be propagated as-is to th…",ProviderAuthError single refresh retry
Req1.AC4,1,4,"§5.1, §4.5.4",60;61,93,COVERED,a new `PagarMeAdapter` is created and registered under `gateway_slug = 'pagarme'`,"the charge execution cron MUST route requests to the correct adapter based on `payment_schedules.gateway_slug`, requiring zero changes to scheduling or state management logic.",Future adapter via gateway_slug routing (Option A constant)
Req1.AC5,1,5,"§5.1, §4.5.4",60;61,93,COVERED,the type system is designed,"the `paymentMethod` field MUST use a discriminated union: `'CREDIT_CARD' | 'PIX' | 'BOLETO'`; each method type MUST carry method-specific subfields (e.g., `CreditCardCharge` with `…",Discriminated union paymentMethod types
Req1.AC6,1,6,"§5.1, §4.5.4",61;65,93,COVERED,the gateway has no record for the given `referenceCode`,"the adapter MUST return `null` (not throw); the cron MUST treat `null` as ""no prior charge exists"" and proceed with a new `createCharge` if within retry budget.",getTransaction null = no prior charge
Req1.AC7,1,7,"§5.1, §4.5.4",61;68,93,COVERED,the gateway returns a specific error code,the adapter MUST map the error to an internal `RefundError` type with `code: 'ALREADY_REFUNDED' | 'TRANSACTION_NOT_FOUND'`; the caller MUST handle both cases idempotently (no re-th…,RefundError ALREADY_REFUNDED idempotent
Req2.AC1,2,1,"§6.3, §3.2",6;62,93,COVERED,any NetCred API operation is initiated,"the adapter MUST read the cached token from `payment_gateway_tokens` WHERE `gateway_slug = 'netcred'`; if `expires_at - now() < 60 minutes`, it MUST refresh the token via `tokenAut…",Read cache; refresh if expires_at - now() < 60min
Req2.AC2,2,2,"§6.3, §3.2",6;62,93;129,COVERED,multiple concurrent Edge Function invocations attempt the refresh simultaneously,the adapter MUST use `SELECT ... FOR UPDATE` on the `payment_gateway_tokens` row to serialize the refresh; only one invocation MUST call `tokenAuth`; all others MUST wait and reuse…,SELECT FOR UPDATE serializes refresh
Req2.AC3,2,3,"§6.3, §3.2",6;62;90,93,COVERED,the result is persisted,"`payment_gateway_tokens` MUST be upserted with `token`, `expires_at = now() + interval '24 hours'`, and `refreshed_at = now()`; the token MUST be stored encrypted at rest (Supabase…",Upsert token + expires_at; Vault for credentials
Req2.AC4,2,4,"§6.3, §3.2",62;29;82,129,COVERED,the error is caught,"the adapter MUST emit a `CRITICAL` Sentry alert with `{ gateway_slug: 'netcred', error_type: 'AUTH_FAILURE' }`; the charge execution MUST be aborted; the schedule MUST be set to `F…",AUTH_FAILURE CRITICAL; abort charge; FAILED without attempt increment
Req2.AC5,2,5,"§6.3, §3.2",62;82,129,COVERED,`tokenAuth` responds with `user.sandbox = true`,"the adapter MUST raise a `CRITICAL` error, emit a Sentry alert, and abort the operation; this assertion prevents sandbox credentials from executing real charges.",Sandbox assertion in production
Req3.AC1,3,1,"§4.1.1, §3.4, §3.11",77,94,COVERED,they first access the provider dashboard,the app MUST present a blocking KYC onboarding screen that CANNOT be dismissed until all required fields for the provider's entity type (CPF or CNPJ) are submitted.,Blocking KYC screen on dashboard
Req3.AC2,3,2,"§4.1.1, §3.4, §3.11",15;21;106,115,COVERED,they submit KYC,"the system MUST collect and validate: full name, CPF (validated check digits, digits only), mobile phone, email (must match Prestway account email), identity document upload (CPF/CNH…",CPF natural person fields validation
Req3.AC3,3,3,"§4.1.1, §3.4, §3.11",15;21;106,115,COVERED,they submit KYC,"the system MUST additionally collect: razão social, nome fantasia, CNPJ (validated), corporate charter/constitution document upload, legal representative identity document upload, …",CNPJ legal entity fields validation
Req3.AC4,3,4,"§4.1.1, §3.4, §3.11",21;109,115,COVERED,"the provider taps ""Submit""","the system MUST atomically: (1) persist all data in `provider_kyc_submissions`, (2) set `provider_accounts.onboarding_status = 'DOCUMENTS_SUBMITTED'`, (3) record `onboarding_submit…",Atomic KYC submit + DOCUMENTS_SUBMITTED + MMD
Req3.AC5,3,5,"§4.1.1, §3.4, §3.11",21;77;109,115,PARTIAL,the failure is caught,the system MUST NOT leave `onboarding_status = 'DOCUMENTS_SUBMITTED'` without a confirmed dispatch; it MUST queue the email in a retry job with exponential backoff; the provider's …,GAP: UI pending until email_dispatched_at — extend Task 77 with polling
Req3.AC6,3,6,"§4.1.1, §3.4, §3.11",26,115,COVERED,the RPC `match_provider_jobs` is called for that provider,"it MUST return an empty result set; the enforcement MUST occur in the RPC (Postgres, `SECURITY DEFINER`), not only in client-side rendering.",match_provider_jobs empty if not ACTIVE
Req3.AC7,3,7,"§4.1.1, §3.4, §3.11",27,115,COVERED,they attempt to initiate a chat conversation with a client,the chat initiation RPC MUST be denied; no chat thread MUST be created; the provider MUST see a blocking screen directing them to complete credentialing.,cns_initiate_conversation denied if not credentialed
Req3.AC8,3,8,"§4.1.1, §3.4, §3.11",26;27;88,115,COVERED,they access the app,they MUST see a suspension message with support contact information; ALL opportunity-access and chat-initiation RPCs MUST deny access identically to non-credentialed providers; exi…,SUSPENDED blocking + support message
Req4.AC1,4,1,§4.1.2,41;57;69,122,COVERED,it executes,"it MUST select providers from `provider_accounts` WHERE `onboarding_status IN ('DOCUMENTS_SUBMITTED', 'UNDER_NETCRED_REVIEW')` AND process them in batches of exactly `provider_batc…",Daily cron batch size from platform_constants
Req4.AC2,4,2,§4.1.2,69,122,COVERED,the GraphQL request is issued,"it MUST be a single HTTP POST to the NetCred API containing all provider documents as aliased `companies(document: ""…"")` queries within one request body; the system MUST NOT issue …",Single GraphQL POST with 50 aliases
Req4.AC3,4,3,§4.1.2,42;109,122,COVERED,a `companies` alias contains a node where `companyState = 'ACTIVE'` AND `bankAccounts.edges` is non-empty,"the cron MUST atomically: (1) persist `netcred_company_id = node.id`, `netcred_bank_account_id = bankAccounts.edges[0].node.id`, (2) set `onboarding_status = 'ACTIVE'`, `onboarding…",ACTIVE + bankAccounts → activation RPC + push
Req4.AC4,4,4,§4.1.2,41;69,122,COVERED,the cron processes the result,`onboarding_status` MUST remain unchanged; no error is raised; the record will be re-evaluated in the next daily run.,Empty edges → no-op
